id,s1,s1_interaction,s2,s2_interaction,s3,s3_interaction,s4,s4_interaction,s5,s5_interaction,s6,s6_interaction,s6,s6_interaction,s7,s7_interaction,s8,s8_interaction,s9,s9_interaction
1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
3,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
4,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
5,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
6,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
7,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
8,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
9,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
10,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
11,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
12,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
13,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
14,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
15,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
16,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
17,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
18,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
19,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
20,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
21,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
22,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
23,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
24,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
25,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
26,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
27,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
28,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
29,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
30,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
31,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
32,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
33,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
34,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
35,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
36,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
37,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
38,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
39,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
40,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
41,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
42,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
43,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
44,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
45,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
46,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
47,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
48,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
49,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
50,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
51,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
52,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
53,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
54,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
55,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
56,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
57,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
58,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
59,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
60,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
61,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
62,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
63,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
64,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
65,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
66,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
67,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
68,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
69,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
70,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
71,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
72,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
73,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
74,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
75,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
76,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
77,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
78,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
79,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
80,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
81,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
82,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
83,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
84,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
85,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
86,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
87,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
88,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
89,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
90,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
91,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
92,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
93,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
94,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
95,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
96,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
97,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
98,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
99,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
100,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
